Position,NDCG_1,NDCG_2,NDCG_3,NDCG_4,NDCG_5,NDCG_6,NDCG_7,NDCG_8,NDCG_9
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7849150337695607,0.7075409867680174,0.847066896477645,0.9246662573683996,0.9171471598726366,0.8604858029937122,0.6964622172462106,0.9130342372018108,0.964186436498088,0.7059026880063535
0.728853886929068,0.6681915148918226,0.7766761721859102,0.746323830819383,0.742863735780239,0.7778218904015048,0.6501415791365409,0.7444946089282225,0.9495401016754522,0.5586898957279486
0.6418704771505903,0.593452012342344,0.7227332495102229,0.6811665735099081,0.7241308389436739,0.6849791793934411,0.5727617202677725,0.7355325238801239,0.8676909184096667,0.49592644561933336
0.6246315321008996,0.5859312401225841,0.6559016903867867,0.6130993504221967,0.6509026270299644,0.6475038023125457,0.5569330842347814,0.6581669719120101,0.8672806100789768,0.4361253824231789
0.5790055956664052,0.5457248956904189,0.6309911329504919,0.5630980630616074,0.6399210025280698,0.600874235102382,0.5169230823575072,0.6307670883207634,0.8232474968318174,0.40273939780054796
0.5652766796220144,0.539764407709909,0.5917986825693563,0.5434922676375441,0.5963691280183295,0.574839358417798,0.5034688611050518,0.5862238080141066,0.8140739151085848,0.3693399217756224
0.5360998325479873,0.513539389786093,0.572041568493409,0.5117860010546476,0.585204521959853,0.5459740635578489,0.4773358947129579,0.5658889758690572,0.7852300547085753,0.3463688252650034
0.5204315974273233,0.5061064329033496,0.5458259585577138,0.485684024208684,0.555287364236485,0.524252699792931,0.4693389700530499,0.5359426725310232,0.7781066016337352,0.3245423039878413
0.4998508986220066,0.4864600507198208,0.5312227533148628,0.475367850143075,0.543802665525462,0.5035804327839367,0.45033861122169,0.5214784462176086,0.7558813636135043,0.3062729466723349
0.488944847994388,0.4761640025501165,0.5119978906798964,0.4559584188602331,0.5212459986719992,0.4854126518959543,0.4402024829392894,0.4988899573837428,0.750932559764465,0.29060593032884585
0.4728999240070367,0.4608433677351407,0.4971703248547778,0.4379845788641848,0.5100464232184636,0.4714134664988067,0.4257144971481333,0.4849260370663826,0.7331550940328135,0.27699093716151557
0.4614914921030917,0.4507039640269052,0.4817586237382659,0.4303593462083876,0.4923500097301389,0.4573821301006509,0.4163712649950183,0.46743199311493,0.7242804858236408,0.26505623499323666
0.4486960154979499,0.4385046663310504,0.4699166432605518,0.4157368778485816,0.4827781593455378,0.4457688754953675,0.4048340557993601,0.4565516235679386,0.709408875805729,0.254466278293826
0.438817194207278,0.4274496400377042,0.4575171928609181,0.4089603344763549,0.4684671350243611,0.4332603827869885,0.3968488456607391,0.44242417015847,0.7017677152770033,0.2449854881921445
0.4283368088894331,0.4175707956777004,0.4477138572325669,0.3969094114465513,0.4604001117543079,0.4231935253821654,0.3863213266338943,0.4328878490416754,0.6892631965629403,0.237308496201172
0.4175229679492058,0.4079051144258092,0.4376174137490907,0.3858916958437405,0.4484009455452944,0.4126040979807664,0.3792811819202938,0.4211616774354439,0.6815374417983804,0.22936037178305388
