doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
14607,male,3.1,37.0,1.97,1.97,male
4820,male,2.7,46.0,1.94,1.94,male
2917,female,3.8,41.0,1.32,1.32,female
1294,male,3.5,41.0,1.66,1.66,male
3479,female,3.6,39.0,1.3,1.3,female
16890,female,3.9,31.0,1.25,1.25,female
9546,male,2.7,40.0,1.61,1.61,male
8086,female,3.7,42.0,1.18,1.18,female
1303,male,3.5,39.0,1.5,1.5,male
9710,female,2.8,33.0,0.97,0.97,female
19609,female,3.3,39.0,0.81,0.81,female
11565,male,2.8,37.0,1.4,1.4,male
6804,female,3.8,34.0,0.8,0.8,female
19279,male,3.7,43.0,1.28,1.28,male
11990,female,3.9,32.0,0.71,0.71,female
8886,female,2.9,35.5,0.65,0.65,female
15633,male,3.6,45.0,1.11,1.11,male
13833,female,3.5,38.0,0.2,0.2,female
11787,male,3.5,32.0,1.03,1.03,male
2731,female,2.5,39.0,0.16,0.16,female
9352,female,2.7,29.0,0.12,0.12,female
19480,male,3.1,45.0,0.91,0.91,male
4429,female,3.5,36.0,0.09,0.09,female
18674,male,3.7,45.0,0.86,0.86,male
3904,female,2.7,39.0,-0.21,-0.21,female
19598,female,3.6,36.0,-0.29,-0.29,female
15379,male,3.4,39.0,0.81,0.81,male
10469,female,3.5,44.0,-0.32,-0.32,female
12026,male,3.0,35.0,0.69,0.69,male
14824,female,3.8,48.0,-0.47,-0.47,female
14093,female,2.7,32.0,-0.5,-0.5,female
9708,male,3.7,43.0,0.61,0.61,male
3200,female,3.1,31.0,-0.53,-0.53,female
11539,male,2.4,35.5,0.38,0.38,male
13217,female,2.5,39.0,-1.04,-1.04,female
15463,female,3.5,41.0,-1.14,-1.14,female
49,male,3.2,34.0,0.37,0.37,male
16795,female,3.1,28.0,-1.27,-1.27,female
17526,male,3.0,42.0,0.36,0.36,male
15769,female,2.9,32.0,-1.28,-1.28,female
7239,female,3.2,28.0,-1.44,-1.44,female
1124,male,2.9,31.5,-0.03,-0.03,male
6615,female,3.1,30.0,-1.7,-1.7,female
6530,male,2.3,39.0,-0.04,-0.04,male
19448,male,3.6,38.0,-0.19,-0.19,male
13311,male,3.5,45.0,-0.21,-0.21,male
3870,male,3.5,40.0,-0.28,-0.28,male
16919,male,3.1,27.0,-0.44,-0.44,male
20844,male,3.0,43.0,-1.05,-1.05,male
15963,male,3.1,32.0,-1.96,-1.96,male
