doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
9096,male,3.6,38.0,2.02,2.02,male
21719,male,3.2,38.0,1.6,1.6,male
7870,female,3.5,39.0,0.89,0.89,female
3188,male,2.9,36.0,1.41,1.41,male
13855,female,3.4,40.0,0.17,0.17,female
19073,female,3.3,44.0,0.17,0.17,female
12367,male,3.2,34.0,1.22,1.22,male
9608,female,3.1,34.0,-0.1,-0.1,female
10848,male,3.3,41.0,1.06,1.06,male
271,female,3.5,40.0,-0.12,-0.12,female
2060,female,2.7,35.0,-0.16,-0.16,female
19980,male,3.5,38.0,0.99,0.99,male
21767,female,3.2,26.0,-0.27,-0.27,female
7001,male,3.4,35.5,0.85,0.85,male
14928,female,3.4,35.5,-0.42,-0.42,female
17199,female,3.1,34.0,-0.45,-0.45,female
6267,male,3.4,38.0,0.7,0.7,male
3943,female,3.4,36.0,-0.47,-0.47,female
15107,male,3.4,33.0,0.62,0.62,male
21019,female,3.2,35.0,-0.48,-0.48,female
1026,female,3.3,35.0,-0.52,-0.52,female
12069,male,3.2,37.0,0.57,0.57,male
604,female,2.7,37.0,-0.64,-0.64,female
14349,male,3.3,32.0,0.4,0.4,male
10803,female,3.3,37.0,-0.68,-0.68,female
14516,female,2.6,40.0,-0.78,-0.78,female
9617,male,3.5,34.5,-0.15,-0.15,male
17010,female,3.5,35.0,-0.9,-0.9,female
4521,male,3.6,32.5,-0.21,-0.21,male
2004,female,2.9,40.0,-0.99,-0.99,female
12684,female,3.2,26.0,-1.23,-1.23,female
7201,male,2.7,32.0,-0.22,-0.22,male
2639,female,3.1,30.5,-1.52,-1.52,female
3738,male,2.3,36.5,-0.24,-0.24,male
12571,female,2.8,34.0,-1.6,-1.6,female
21200,female,2.9,35.0,-1.6,-1.6,female
4639,male,2.9,39.0,-0.29,-0.29,male
949,female,3.2,36.0,-1.63,-1.63,female
5003,male,2.4,31.0,-0.31,-0.31,male
165,female,3.0,35.5,-1.73,-1.73,female
15210,female,2.8,24.0,-1.82,-1.82,female
10050,male,2.8,32.0,-0.34,-0.34,male
14341,female,3.7,33.0,-1.86,-1.86,female
21303,male,3.0,33.0,-0.36,-0.36,male
9263,male,2.1,32.0,-0.53,-0.53,male
5083,male,2.1,28.0,-0.66,-0.66,male
1975,male,3.0,34.0,-0.86,-0.86,male
12582,male,2.7,30.0,-1.01,-1.01,male
21282,male,3.3,32.0,-1.13,-1.13,male
21320,male,2.9,31.0,-1.37,-1.37,male
