Sample,Kendall Tau
1,0.6666666666666666
10,-0.3333333333333333
11,0.0
12,1.0
13,0.6666666666666666
14,
15,0.6666666666666666
16,0.0
17,0.0
18,1.0
19,0.0
2,0.3333333333333333
20,0.0
21,0.3333333333333333
22,
23,0.0
24,0.0
25,0.0
26,-0.3333333333333333
27,0.0
28,-0.3333333333333333
29,-0.3333333333333333
3,0.6666666666666666
30,-0.3333333333333333
31,0.6666666666666666
32,-1.0
33,0.6666666666666666
34,0.0
35,1.0
36,0.3333333333333333
37,0.6666666666666666
38,0.6666666666666666
39,0.0
4,0.0
40,-1.0
41,0.3333333333333333
42,0.3333333333333333
43,0.0
44,0.0
45,0.6666666666666666
46,1.0
47,0.3333333333333333
48,-0.3333333333333333
49,-0.3333333333333333
5,0.0
50,-0.6666666666666666
6,0.0
7,-1.0
8,0.6666666666666666
9,0.0
